의료기관종별,의료기관명,의료기관주소(도로명),의료기관전화번호,데이터기준일자
병원,소나무병원,"부산광역시 사하구 까치고개로 79-2, 지하1~2층 전부, 1층 일부, 2~4층 전부 (괴정동)",051-791-2727,2025-02-11
병원,굳건병원,"부산광역시 사하구 낙동대로 446, 지하2층 일부, 1층 일부, 2~4층 전부, 6층 일부 (당리동)",051-991-1119,2025-02-11
병원,부산더키즈병원,"부산광역시 사하구 다대로 234, 5,6,7,8,9층 (장림동)",051-711-6000,2025-02-11
병원,더탄탄병원,"부산광역시 사하구 사하로 189, 2층,3~4 일부층 (괴정동, 괴정어반푸르지오)",051-961-1000,2025-02-11
병원,서호하단병원,"부산광역시 사하구 낙동대로 446, 7~15층 (당리동)",051-201-6666,2025-02-11
병원,파크병원,부산광역시 사하구 까치고개로 79-1 (괴정동),051-201-8787,2025-02-11
병원,항스퀘어 병원,부산광역시 사하구 다대로 251 (장림동),051-715-4242,2025-02-11
병원,괴정어린이병원,부산광역시 사하구 사하로 188 (괴정동),051-201-5275,2025-02-11
병원,의료법인성신의료재단 다대수병원,부산광역시 사하구 다대로 565 (다대동),051-260-1000,2025-02-11
병원,부산맘아동병원,"부산광역시 사하구 낙동대로 451, 금동빌딩 2,4,5-8층 (하단동)",051-271-8275,2025-02-11
병원,미래아이병원,부산광역시 사하구 낙동남로 1388 (하단동),051-200-9999,2025-02-11
병원,부산본병원,부산광역시 사하구 승학로 8 (당리동),051-1599-8275,2025-02-11
병원,에디스여성병원,부산광역시 사하구 낙동대로 361 (당리동),051-206-0999,2025-02-11
병원,의료법인양경의료재단 중앙U병원,부산광역시 사하구 감천로 59 (감천동),051-293-7766,2025-02-11
병원,항플러스병원,부산광역시 사하구 낙동남로 1394 (하단동),051-207-6111,2025-02-11
병원,프라임병원,부산광역시 사하구 낙동남로 1410 (하단동),051-202-7800,2025-02-11
병원,하나병원,부산광역시 사하구 다대로 311 (장림동),051-266-2600,2025-02-11
병원,큐병원,부산광역시 사하구 낙동남로 1401 (하단동),051-207-4343,2025-02-11
병원,경희병원,부산광역시 사하구 다대로 321 (장림동),051-265-7575,2025-02-11
병원,강동병원,부산광역시 사하구 다대로 145 (신평동),051-292-1940,2025-02-11
병원,장림한서병원,부산광역시 사하구 다대로 315 (장림동),051-262-3344,2025-02-11
요양병원(일반요양병원),의료법인 신암의료재단 제일요양병원,부산광역시 사하구 동매로44번길 8 (하단동),051-202-8899,2025-02-11
요양병원(일반요양병원),의료법인 굿타임의료재단 타임요양병원,부산광역시 사하구 다대로 607 (다대동),051-791-2222,2025-02-11
요양병원(일반요양병원),큰사랑요양병원,부산광역시 사하구 하신중앙로 174 (신평동),051-203-0288,2025-02-11
요양병원(일반요양병원),선안요양병원,부산광역시 사하구 다대로 616 (다대동),051-600-3800,2025-02-11
요양병원(일반요양병원),부산노인전문제4병원,부산광역시 사하구 동매로44번길 4 (하단동),051-202-1370,2025-02-11
요양병원(일반요양병원),의료법인인주의료재단 늘사랑요양병원,부산광역시 사하구 사하로 21 (구평동),051-714-3533,2025-02-11
요양병원(일반요양병원),의료법인한우리의료재단 한우리요양병원,부산광역시 사하구 원양로 400 (감천동),051-208-7500,2025-02-11
요양병원(일반요양병원),의료법인마루의료재단 의왕요양병원,부산광역시 사하구 낙동대로 305 (괴정동),051-220-7000,2025-02-11
요양병원(일반요양병원),의료법인다평의료재단 센텀휴요양병원,부산광역시 사하구 다대로277번길 31 (장림동),051-264-0100,2025-02-11
요양병원(일반요양병원),의료법인 연송의료재단 제2신창요양병원,부산광역시 사하구 비봉로 80 (신평동),051-987-7900,2025-02-11
요양병원(일반요양병원),의료법인효원의료재단 자연요양병원,"부산광역시 사하구 장평로 1, 1층 일부, 3~5층 전부, 8층 일부 (장림동)",051-982-1004,2025-02-11
요양병원(일반요양병원),청림요양병원,부산광역시 사하구 낙동대로 377 (당리동),051-208-9900,2025-02-11
요양병원(일반요양병원),라파요양병원,"부산광역시 사하구 다대로 544, 3-4층 (다대동, 진요빌딩)",051-262-3457,2025-02-11
요양병원(일반요양병원),의료법인호산나의료재단현대요양병원,부산광역시 사하구 하신중앙로 7 (장림동),051-997-0001,2025-02-11
요양병원(일반요양병원),조이효요양병원,부산광역시 사하구 감천로 55 (감천동),051-293-9500,2025-02-11
요양병원(일반요양병원),의료법인성진의료재단 동산요양병원,부산광역시 사하구 낙동대로216번길 10 (괴정동),051-204-1133,2025-02-11
요양병원(일반요양병원),한빛의료소비자생활협동조합한빛요양병원,부산광역시 사하구 사하로 55 (구평동),051-260-6600,2025-02-11
요양병원(일반요양병원),곽요양병원,부산광역시 사하구 낙동남로 1361 (하단동),051-207-5131,2025-02-11
요양병원(일반요양병원),의료법인 성원의료재단 감천참편한요양병원,"부산광역시 사하구 감천로 125 (감천동, 우리빌딩)",051-204-9998,2025-02-11
요양병원(일반요양병원),중앙효요양병원,"부산광역시 사하구 낙동대로 565, 2~4층 전부, 6~8층 전부, 9층 일부 (하단동)",051-208-8601,2025-02-11
정신병원,다대자연병원,"부산광역시 사하구 장평로 1, 지하1~2층 전부, 1층 일부, 2층 전부, 6~7층 전부, 8층 일부 (장림동)",051-204-5004,2025-02-11
정신병원,괴정병원,"부산광역시 사하구 낙동대로 248, 4,8,9,10층 (괴정동, 우리메디칼센터)",051-205-2611,2025-02-11
